Unnamed: 0,Código,Compra,Venda,Máxima,Mínima,Var.,Var.%,Hora,extracted_at
,USD/BRL,53866,53874,54035,53298,577,"+1,08%",00:15:20,2022-07-06-at-03:15:34
,EUR/USD,10262,10266,10272,10254,-2,"-0,02%",00:15:21,2022-07-06-at-03:15:34
,USD/JPY,13518,13521,13590,13513,-68,"-0,50%",00:15:17,2022-07-06-at-03:15:34
,GBP/USD,11962,11966,11972,11944,7,"+0,06%",00:15:22,2022-07-06-at-03:15:34
,USD/CHF,09674,09678,09692,09672,-7,"-0,07%",00:15:11,2022-07-06-at-03:15:34
,USD/CAD,13042,13043,13045,13015,7,"+0,05%",00:15:20,2022-07-06-at-03:15:34
,EUR/JPY,13873,13880,13954,13866,-71,"-0,51%",00:15:21,2022-07-06-at-03:15:34
,AUD/USD,06806,06807,06819,06788,5,"+0,07%",00:15:20,2022-07-06-at-03:15:34
,NZD/USD,06165,06169,06226,06125,-1,"-0,02%",00:15:26,2022-07-06-at-03:15:34
,EUR/GBP,08577,08581,08597,08575,-5,"-0,06%",00:15:27,2022-07-06-at-03:15:34
,EUR/CHF,09928,09935,09952,09928,-10,"-0,10%",00:15:26,2022-07-06-at-03:15:34
,AUD/JPY,9200,9204,9246,9195,-40,"-0,43%",00:15:26,2022-07-06-at-03:15:34
,GBP/JPY,16171,16178,16251,16163,-71,"-0,44%",00:15:22,2022-07-06-at-03:15:34
,CHF/JPY,13967,13977,14032,13959,-55,"-0,39%",00:15:26,2022-07-06-at-03:15:34
,EUR/CAD,13382,13391,13390,13362,4,"+0,03%",00:15:20,2022-07-06-at-03:15:34
,AUD/CAD,08874,08881,08887,08848,16,"+0,17%",00:15:26,2022-07-06-at-03:15:34
,CAD/JPY,10365,10367,10431,10361,-53,"-0,51%",00:15:26,2022-07-06-at-03:15:34
,NZD/JPY,8334,8341,8389,8334,-43,"-0,51%",00:15:27,2022-07-06-at-03:15:34
,AUD/NZD,11033,11041,11041,11012,23,"+0,21%",00:15:26,2022-07-06-at-03:15:34
,GBP/AUD,17573,17582,17604,17550,-7,"-0,04%",00:15:26,2022-07-06-at-03:15:34
,EUR/AUD,15079,15084,15115,15055,-5,"-0,03%",00:15:27,2022-07-06-at-03:15:34
,GBP/CHF,11573,11581,11589,11567,-1,"-0,01%",00:15:26,2022-07-06-at-03:15:34
,EUR/NZD,16635,16652,16666,16608,14,"+0,08%",00:15:27,2022-07-06-at-03:15:34
,AUD/CHF,06583,06588,06600,06574,2,"+0,02%",00:15:26,2022-07-06-at-03:15:34
,GBP/NZD,19391,19410,19405,19361,28,"+0,14%",00:15:26,2022-07-06-at-03:15:34
,USD/INR,79185,79185,79410,79155,-184,"-0,23%",00:15:29,2022-07-06-at-03:15:34
,USD/CNY,67046,67066,67200,67032,-143,"-0,21%",00:15:16,2022-07-06-at-03:15:34
,USD/SGD,14036,14041,14060,14032,-13,"-0,09%",00:15:25,2022-07-06-at-03:15:34
,USD/HKD,78472,78473,78474,78465,7,"+0,01%",00:15:26,2022-07-06-at-03:15:34
,USD/DKK,72478,72486,72558,72437,23,"+0,03%",00:15:27,2022-07-06-at-03:15:34
,GBP/CAD,15602,15607,15609,15567,18,"+0,11%",00:15:26,2022-07-06-at-03:15:34
,USD/SEK,105051,105164,105225,104989,78,"+0,07%",00:15:21,2022-07-06-at-03:15:34
,USD/RUB,611500,611500,611500,611500,0,"+0,00%",05/07,2022-07-06-at-03:15:34
,USD/TRY,170016,170116,170368,169650,57,"+0,03%",00:15:25,2022-07-06-at-03:15:34
,USD/MXN,205430,205535,205553,204930,321,"+0,16%",00:15:25,2022-07-06-at-03:15:34
,USD/ZAR,165293,165347,165722,165107,37,"+0,02%",00:15:27,2022-07-06-at-03:15:34
,CAD/CHF,07416,07421,07441,07418,-8,"-0,10%",00:15:23,2022-07-06-at-03:15:34
,NZD/CAD,08043,08045,08053,08028,3,"+0,04%",00:15:24,2022-07-06-at-03:15:34
,NZD/CHF,05963,05971,05983,05966,-7,"-0,12%",00:15:26,2022-07-06-at-03:15:34
,BTC/USD,"19.836,0","19.841,0","20.736,0","19.287,0",-4630,"-2,28%",00:15:23,2022-07-06-at-03:15:34
,BTC/EUR,"19.325,9","19.326,0","19.802,6","19.251,8",-26,"-0,01%",00:15:30,2022-07-06-at-03:15:34
,ETH/USD,"1.120,11","1.120,12","1.174,90","1.076,34",-2449,"-2,14%",00:15:12,2022-07-06-at-03:15:34
